tx	gene_id	USA500_NRS385_Biofilm_10h_1	USA500_NRS385_Biofilm_10h_2	USA500_NRS385_Biofilm_10h_3	USA500_NRS385_Biofilm_10h_4	USA500_NRS385_Biofilm_24h_1	USA500_NRS385_Biofilm_24h_2	USA500_NRS385_Biofilm_24h_3	USA500_NRS385_Biofilm_24h_4	USA500_NRS385_Biofilm_24h_5	USA500_NRS385_Biofilm_24h_6	USA500_NRS385_Biofilm_24h_7	USA500_NRS385_Biofilm_24h_8	USA500_NRS385_Biofilm_5h_1	USA500_NRS385_Biofilm_5h_2	USA500_NRS385_Biofilm_5h_3	USA500_NRS385_Biofilm_5h_4	USA500_NRS385_Planktonic_10h_1	USA500_NRS385_Planktonic_10h_2	USA500_NRS385_Planktonic_10h_3	USA500_NRS385_Planktonic_10h_4	USA500_NRS385_Planktonic_24h_1	USA500_NRS385_Planktonic_24h_2	USA500_NRS385_Planktonic_24h_3	USA500_NRS385_Planktonic_24h_4	USA500_NRS385_Planktonic_24h_5	USA500_NRS385_Planktonic_24h_6	USA500_NRS385_Planktonic_24h_7	USA500_NRS385_Planktonic_24h_8	USA500_NRS385_Planktonic_5h_1	USA500_NRS385_Planktonic_5h_2	USA500_NRS385_Planktonic_5h_3	USA500_NRS385_Planktonic_5h_4
unassigned_transcript_517	SAUSA300_RS02590	128.61	150.942	160.718	135.962	19.659	19.334	9.321	23.385	8.258	14.721	20.156	17.539	314.603	343.722	338.275	309.295	286.87	322.742	309.794	301.762	195.253	194.705	213.574	267.308	190.534	248.451	256.245	238.554	307.529	316.673	285.937	288.219
unassigned_transcript_518	SAUSA300_RS02595	431.752	410.142	400.348	413.021	142.899	135.896	146.67	141.593	144.299	152.454	150.099	160.166	573.717	604.118	619.938	581.301	430.97	455.908	459.593	443.208	526.104	517.626	485.866	647.756	477.648	621.034	639.432	580.295	635.109	557.447	573.531	576.739
unassigned_transcript_519	SAUSA300_RS02600	120.837	138.403	137.537	136.25	39.341	44.77	63.732	48.888	59.548	44.862	59.226	39.835	181.768	197.295	192.491	154.772	121.959	148.641	122.251	130.893	185.654	169.296	154.942	210.421	180.005	220.02	180.476	214.326	231.67	217.892	237.188	247.4
unassigned_transcript_520	SAUSA300_RS02605	188.688	170.956	168.326	167.008	43.119	40	29.277	42.142	35.895	42.001	41.52	38.022	182.755	205.343	201.474	210.215	164.877	203.347	188.22	171.963	147.34	171.049	137.57	176.084	143.346	195.579	170.464	191.466	193.383	175.23	153.026	170.764
unassigned_transcript_521	SAUSA300_RS02610	520.171	449.943	526.143	506.901	179	150	142	146.002	125	152	149	131.978	393.377	415.804	378.013	418.005	470.054	471.495	444.121	448.343	362.816	382.373	369.876	459.549	345.029	468.425	446.65	454.544	377.973	363.697	302.159	334.224
unassigned_transcript_522	SAUSA300_RS02615	118.616	128.014	103.004	117.008	46.954	48.017	44.85	40.972	42.662	52.009	51.039	57	113.982	131.719	148.869	131.255	98.478	123.768	126.311	139.668	194.263	200.78	200.594	278.389	217.135	268.337	277.768	265.95	103.701	112.746	87.891	117.129
unassigned_transcript_523	SAUSA300_RS02620	126.583	110.986	133.996	134.992	11.046	8.983	14.15	5.028	7.34	9.991	9.961	7	143.01	136.282	176.665	155.094	165.512	162.092	153.695	155.432	127.737	132.258	123.416	165.601	120.087	151.164	139.294	136.601	44.299	32.579	54.141	47.872
unassigned_transcript_524	SAUSA300_RS02625	3334.876	3240.605	3334.975	3291.928	1051	1087	1100	1062	1065	1063	1077	1116	4504.079	4501.989	4670.064	4389.329	2317.187	2335.729	2292.796	2329.638	3007.884	2870.962	2865.952	3651.061	2810.891	3615.435	3742.57	3446.239	3203.22	3338.4	3237.433	3231.547
unassigned_transcript_525	SAUSA300_RS02630	369	346	362	336.998	153	157	162	131	118	162	144	148	313.75	304.003	293.764	304.839	171	175	140.978	172	318.793	290	300.268	372.532	313	343.985	413.597	355.682	379.042	413.534	379.033	388.354
unassigned_transcript_526	SAUSA300_RS02635	2338	2199.008	2410	2378.059	1494	1500.888	1489.138	1455.927	1460	1522.117	1421.48	1488	3589.988	3413.078	3603.955	3467.262	2580.464	2493.666	2454.202	2446.475	1248.153	1221.965	1199.937	1418.999	1148.461	1418.019	1523.801	1477.122	3313.387	3422.48	3231.528	3371.142
unassigned_transcript_527	SAUSA300_RS02640	107.389	106.27	127.773	105.299	60.311	47.654	42.604	55.744	63	43.37	38.885	48.972	224.022	212.97	222.474	222.104	118.36	128.029	89.577	105.084	110.206	107.756	110.296	110.35	114.474	143.159	110.52	139.234	180.934	218.698	184.785	186.997
unassigned_transcript_528	SAUSA300_RS02645	61.654	54.385	61.744	61.806	25.688	23.233	26.06	23.341	24.433	15.63	22.367	24.908	136.512	139.68	131.078	131.523	73.662	73.102	76.643	76.027	77.181	79.272	90.805	100.788	79.239	95.899	96.054	84.963	97.269	119.564	143.686	116.242
unassigned_transcript_529	SAUSA300_RS02650	99.957	117.345	118.483	117.904	12.001	24.112	17.229	31.915	22.567	29	25.748	21.12	196.67	187.984	199.998	172.512	129.978	156.448	127.788	108.88	127.614	139.972	109.899	142.91	123.306	159.844	175.083	159.817	126.573	172.104	132.369	125.762
unassigned_transcript_530	SAUSA300_RS02655	45.781	33	39	36	5	0	1.996	0	1	3	3	0	75.966	65.999	64.662	73.989	32	41.753	35.997	38.998	13	15.999	13.988	20	9.999	21	24	20.998	19.016	17.991	13.985	13.997
unassigned_transcript_531	SAUSA300_RS02660	934.219	978	984	944	374	326	344.004	323	348	352	351	339.009	2706.637	2654.068	2760.779	2614.244	1345.939	1459.053	1383.57	1358.876	1520.199	1510.294	1590.087	1858.295	1431.619	1971.977	1968.329	1931.559	2199.769	2368.132	2224.519	2261.555
unassigned_transcript_532	SAUSA300_RS02665	3	0	0	0	5	8	7.993	6	7	5	11	14	1	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0
unassigned_transcript_533	SAUSA300_RS02670	0	0	0	0	13	5	3	2	3	2	3	1	1	1	0	1	1	1	1	0	3	5	3	2	8	3	4	4	3	2	1	3
unassigned_transcript_534	SAUSA300_RS02675	85	86	72	73	4000.009	3895.004	3792.034	3734	3723.003	3968	3911.995	3908.751	1230.08	1180.235	1253.682	1278.182	68	57	55	52	12	19	24	18	13	13	13	16	70	75	83	52
unassigned_transcript_535	SAUSA300_RS02680	0	1	0	2	2	6	6	6	7	3	10	1	1	1	1	1	0	0	2	3	2	3	2	3	3	2	2	4	1	1	1	2
unassigned_transcript_536	SAUSA300_RS02685	901	873	890.994	946	23059.331	22943.623	23170.139	22595.965	22716.706	23278.702	22879.038	23110.157	12878.652	12538.289	13069.051	12541.604	531	535	477	496	84	90	84	95.009	91	118.665	98	102	295.003	318.984	295.327	317.002
unassigned_transcript_537	SAUSA300_RS02690	0	4	2	0	18	5	9	16	14	9	8	8	3	2	4	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0
unassigned_transcript_538	SAUSA300_RS02695	38	35	31	46	5	0	4	2	2	4	1	3	7	10	9	9	13	13.001	12	17	4	3	5	7	1	4	9	12.2	1	2	0	3
unassigned_transcript_539	SAUSA300_RS02700	5002.27	4831.204	5100.735	5092.805	4243.417	3978.053	4046.268	3952.522	3918.627	4097.513	4072.327	4149.826	1930.179	1779.249	1817.266	1864.202	1458.245	1504.929	1383.914	1412.543	676.422	670.829	698.326	850.82	662.386	890.871	848.718	874.701	861.586	886.089	900.023	879.657
unassigned_transcript_540	SAUSA300_RS02705	3455.394	3352.644	3526.647	3397.11	450.374	519.947	513.212	470.953	532.274	491.487	494.673	526.213	1168.533	1206.093	1389.733	1295.255	1029.913	1035.444	1015.68	988.778	489.556	473.975	431.016	600.917	478.049	623.212	606.692	560.469	367.999	345.157	421.204	349.12
unassigned_transcript_541	SAUSA300_RS02710	181	170	186	182	67	71	69	67	68	78	83	74	351.274	368.01	374.585	369.249	580.983	512.171	543.577	524.162	528.977	545.999	492.518	631.506	511	602.955	643.281	584.566	236	238.794	222.987	222.211
unassigned_transcript_542	SAUSA300_RS02715	543.903	508.603	551.304	516.953	446.476	452.6	456.15	463.806	487.278	494.18	460.78	451.182	278.854	279.834	287.641	287.197	394.273	327.131	370.383	390.855	71.81	59.099	66.506	88	71.079	97.433	87.106	81.811	221.51	211.935	223.282	225.069
unassigned_transcript_543	SAUSA300_RS02720	683.951	680.298	750.404	684.589	817.049	847.835	776.771	776.396	806.2	844.701	763.859	788.779	442.161	424.846	439.882	407.076	479.5	471.238	461.207	469.802	142.596	166.575	147.857	198.518	178.85	200.435	200.08	201.257	464.018	496.923	477.657	490.966
unassigned_transcript_544	SAUSA300_RS02725	1127.03	1177.277	1197.682	1210.301	587.571	559.958	548.607	546.169	571.696	595.36	594.017	555.203	777.837	766.596	761.684	763.039	738.06	726.942	790.749	714.226	295.469	293.413	283.31	387.218	312.755	376.003	392.438	392.586	700.172	691.189	713.852	681.52
unassigned_transcript_545	SAUSA300_RS02730	2872.126	2884.427	3042.478	2971.567	1639.776	1585.095	1617.513	1544.253	1627.798	1601.688	1591.131	1576.836	2373.05	2472.51	2444.022	2382.68	2316.765	2259.495	2307.155	2223.936	1100.99	1081.856	1134.176	1383.548	1070.891	1371.472	1379.447	1274.668	2410.693	2517.938	2546.225	2467.956
unassigned_transcript_546	SAUSA300_RS02740	340.752	328	335	351	173.174	197.063	206	204	196.457	215	191	207.995	374.267	364.288	410.187	380.956	339.179	317.032	303.036	301.857	469.023	496.981	497.839	623.264	459.324	588.942	610.155	607.21	478.676	453.7	456.897	478.874
unassigned_transcript_547	SAUSA300_RS02745	134.248	127	134	144	24.826	21.938	13	28	16.543	31	18	24	221.411	241.161	194.661	214.86	186.891	181.971	177.569	190.306	117.048	92.988	112.162	136.197	103.401	147.977	120.009	137.993	81.15	74.634	81.914	89.126
unassigned_transcript_548	SAUSA300_RS02750	821	730	838	759	186	209	215	192	186	210	191	208	911.223	901.567	908.622	933.428	642.257	602.702	666.811	587.881	849	878.228	869.993	1089.398	878.086	1026.835	1117.837	1056.962	629.935	629.191	588.934	600.395
unassigned_transcript_549	SAUSA300_RS02755	178.326	173.525	196.985	163.697	136.978	169.911	142.896	132.96	129.98	144.98	149.992	130.814	426.954	398.249	438.344	364.948	123.084	99.963	115.458	98.964	283.569	281.139	251.962	357.112	267.313	358.372	336.169	336.849	409.794	424.698	384.285	364.987
unassigned_transcript_550	SAUSA300_RS02760	300.389	311.508	318.272	278.411	117.908	131.959	118.967	123.016	120.02	124.962	127	100.479	891.262	860.749	817.253	894.413	313.093	298.086	315.433	285.976	373.07	360.281	385.118	449.519	383.953	475.76	452.984	478.437	503.732	489.1	537.04	523.447
unassigned_transcript_551	SAUSA300_RS02765	94.128	107.961	94.427	88.883	25.102	19.839	16.427	22.825	15.963	21.055	32.302	20.362	288.474	337.271	285.792	304.847	101.641	120.375	115.683	109.779	170.332	163.216	166.113	199.607	181.07	192.586	186.168	221.466	197.969	206.134	180.664	211.063
unassigned_transcript_552	SAUSA300_RS02770	126.577	124.588	129.517	135.656	119.072	104.13	90.62	103.129	100.383	87.868	79.228	106.342	571.062	547.934	592.639	546.974	245.307	236.273	239.741	247.467	336.073	359.142	304.41	420.557	320.574	405.374	388.843	398.178	496.554	567.984	489.12	503.454
unassigned_transcript_553	SAUSA300_RS02775	121.571	151.642	129.813	138.353	21.94	24.162	22.089	20.069	32.488	18.134	24.47	20.003	559.003	537.517	572.713	579.204	278.881	270.197	272.817	255.822	247.589	256.51	249.45	296.388	274.726	341.792	319.154	289.883	313.722	343.862	308.121	286.373
unassigned_transcript_554	SAUSA300_RS02780	54	57.778	53.986	44.024	3	8	12	5	6.166	5	5	8	258.957	251.4	218.933	234.881	119.946	131	116.179	107.922	61.091	43.639	55.304	54.637	49.306	58.638	64.018	54.914	20.355	31.822	23.52	18.738
unassigned_transcript_555	SAUSA300_RS15115	146.255	139.343	151.146	138.61	14.329	6.122	12.73	9	10.508	15	16.504	11.637	221.447	188.266	217.149	218.973	106.066	98.774	119.093	92.883	171.081	134.472	135.208	186.07	140.05	182.057	174.487	183.657	73.956	129.231	96.224	93.374
unassigned_transcript_556	SAUSA300_RS02785	179.909	157.19	159.235	162.778	27.8	27.676	35.502	24.802	41.888	28.985	30.91	24.501	210.324	191.854	217.685	216.05	128.562	123.922	137.379	120.982	199.375	177.759	181.717	204.574	169.387	202.753	205.179	206.161	124.151	110.995	99.76	124.579
unassigned_transcript_557	SAUSA300_RS02790	594.836	510.467	609.537	530.588	289.871	276.271	294.768	322.787	278.46	298.015	296.586	294.863	913.876	786.873	874.697	814.765	643.369	599.143	621.449	560.786	723.44	776.598	777.195	967.823	750.173	979.431	938.056	922.518	656.087	641.754	636.339	610.793
unassigned_transcript_558	SAUSA300_RS02795	1007	994	984.613	1008	1157.967	1174.931	1151	1127.295	1176.089	1186	1166	1133	1304.892	1373.521	1433.402	1310.485	2215.251	2288.976	2274.624	2253.201	2992.398	2919.122	2874.133	3558.268	2781.56	3573.399	3569.972	3513.738	2084.975	2239.078	2203.148	2137.906
unassigned_transcript_559	SAUSA300_RS02800	941.838	916.04	961	943	635	667.009	665	663.021	601.054	660	670.786	672.987	1616.866	1598.887	1601.746	1539.793	2685.879	2678.843	2562.307	2566.4	2596.577	2566.604	2601.992	3197.624	2480.579	3278.957	3150.874	3211.414	2096.727	2083.555	2110.967	2166.097
unassigned_transcript_560	SAUSA300_RS02805	238	180.9	227	186.089	212.628	224.469	239.287	206.267	191.795	201.008	197.157	218.257	354.657	428.23	419.268	356.861	1451.596	1395.322	1396.202	1352.792	2030.412	2142.768	1999.494	2545.721	1998.231	2659.503	2518.112	2542.704	1259.787	1249.236	1291.063	1212.517
unassigned_transcript_561	SAUSA300_RS02810	83	72.1	58.998	81.911	148.372	171.531	167.713	167.733	149.205	173.992	150.883	157.743	141.818	150.769	147.005	140.466	706.33	713.344	637.736	670.198	534.312	516.473	530.677	600.4	466.517	632.326	624.331	589.336	449.186	419.639	441.352	393.126
unassigned_transcript_562	SAUSA300_RS02815	133	118	160	147	74	76	81	70	59	54	60	75	98.001	92.056	107.299	102	222.982	252.452	231	213	272.996	246.047	256	319.003	250.03	312.983	343	309.614	262.962	275	234.292	228
unassigned_transcript_563	SAUSA300_RS02820	14774.946	14393.867	14956.319	14863.162	3521.082	3527.111	3507.834	3384.989	3462.851	3525.333	3476.512	3570.911	10374.28	10209.931	10591.619	10192.233	10395.153	10598.874	10380.887	10091.487	12135.152	12082.816	11969.859	14961.454	11742.199	15040.749	14956.999	14687.082	9698.861	10014.225	9787.935	9713.845
unassigned_transcript_564	SAUSA300_RS02825	5412.709	5253.688	5427.826	5192.39	2118.999	2140	2105	2060.086	2165.165	2104.091	2098.648	2134.005	11548.56	11739.879	12087.628	11590.668	11693.002	12113.732	11609.208	11382.86	10999.205	10817.19	10671.029	13348.908	10451.363	13291.11	13547.762	13207.398	8555.769	9330.474	8760.655	8706.994
unassigned_transcript_565	SAUSA300_RS02830	218.907	265.142	230.817	236.339	75.831	86.547	69.051	84.15	81.808	65.045	77.697	76.46	822.698	867.268	904.892	871.676	1200.168	1259.513	1176.558	1195.933	835.39	870.515	906.995	1150.462	897.103	1104.904	1087.176	1137.647	735.82	780.432	718.441	698.222
unassigned_transcript_566	SAUSA300_RS02835	562.971	555.844	654.197	575.059	1128.88	1068.622	1103.45	1119.398	1090.622	1108.102	1065.462	1091.415	3128.15	3159.228	3173.98	3187.869	3129.993	3089.613	3143.991	2997.729	4667.875	4582.829	4515.144	5627.207	4439.084	5793.049	5657.968	5593.73	4081.809	4240.136	4160.286	4178.094
unassigned_transcript_567	SAUSA300_RS02840	679.865	659.96	696.689	696.833	872.002	828.007	781.333	842.711	869.018	807.785	808.518	845.022	3108.79	3264.61	3246.258	3187.726	3497.006	3583.729	3593.622	3584.835	4961.242	4941.92	5046.725	6063.395	4955.16	6281.577	6156.293	6023.372	4224.189	4465.21	4298.869	4335.665
unassigned_transcript_568	SAUSA300_RS02845	2479.042	2384.962	2477.298	2495.984	5834.397	5637.432	5878.57	5630.74	5706.283	5869.953	5676.098	5856.346	14623.343	14674.285	15233.166	14725.458	18174.42	18040.909	17862.79	17661.042	24502.395	24061.55	24066.009	29860.608	23654.334	30470.137	29868.015	29579.558	21698.57	22528.1	21863.552	22177.97
unassigned_transcript_569	SAUSA300_RS02850	3262.43	3186	3330	3292.511	7505.635	7629.144	7571.228	7422.009	7584.332	7579.543	7540.244	7539.83	15415.441	15175.038	15816.376	15007.368	16402.544	16717.742	16446.512	16156.869	21994.081	21557.275	21718.928	26686.678	21004.049	26761.558	26557.817	26484.425	25930.394	26635.806	26446.536	26256.786
unassigned_transcript_570	SAUSA300_RS02855	381	384.999	415	376	113	96	93	91.002	88	92	115	100	382.024	363.957	346.037	366.791	137	135	132.001	128	123	116	130	121	114	131	141	144	216.003	215	214.479	186.015
unassigned_transcript_571	SAUSA300_RS02860	2945.058	2939	2935.72	2853.067	1504.09	1480	1472	1408	1440	1593.199	1493	1456	2494.888	2453.842	2533.212	2415.748	1312.176	1341.593	1363.72	1296.728	1019.305	1039.311	1040	1290.745	1038.953	1258.828	1289.958	1272.041	1364.283	1385.957	1370.012	1365.35
unassigned_transcript_572	SAUSA300_RS02865	6315.734	6090.904	6475.664	6179.896	1209.441	1301	1243.02	1251	1275.007	1266.004	1215.469	1216	17065.123	16813.898	17298.198	16919.49	5419.333	5552.114	5257.083	5225.859	1568.95	1576.655	1570.622	1846.401	1532.273	1913.629	1950.786	1920.05	17507.434	18612.807	18152.761	17770.33
unassigned_transcript_573	SAUSA300_RS02870	79.999	74	79	97	31	17	19	16	35	34	36	23	142.61	145.021	145.817	128.043	110.301	97	110	108	126	109	116	148	118.014	153.427	152.111	146	107.93	97.026	100	119
unassigned_transcript_574	SAUSA300_RS02875	336.997	335	294	317	155	162	139	160	140	143	141	130	1563.887	1571.591	1599.355	1594.223	787.958	811.278	747.233	752.884	410.77	380	394.32	455.187	346	497.214	462.371	469.006	845.207	907.308	887.391	870.769
unassigned_transcript_575	SAUSA300_RS02880	1105.048	1111.017	1146.966	1158	315.98	292	288.022	288	260.019	277	267	312	1284.972	1330.975	1354.46	1356.729	640.633	648.278	647.946	658	484	478.002	477.483	604.602	434.018	598.66	586.637	567.465	1118.817	1173.441	1143.422	1134.639
unassigned_transcript_576	SAUSA300_RS02885	280	245	296	282	75	62	63	68	64	81	73	83	370.331	323.432	338.196	317.023	151.001	145.053	139.312	147.036	111	128	109.713	129.096	104	170.001	143.097	131.037	280.871	287.12	307.584	256.979
unassigned_transcript_577	SAUSA300_RS02890	58	60	50.86	46	3	2	4.562	5	5	4	1	10	81.489	81.996	80.779	66.998	71.91	79	64.032	55.929	69.897	62.98	46.994	81.994	63.045	93.186	72.922	67	49.044	45	52.901	51.161
unassigned_transcript_578	SAUSA300_RS02895	13	15	20.14	17	1	1	3.438	2	1	0	0	3	13.105	12	9.07	8	14.074	11	13.968	12.071	4.103	2.02	3.006	3.006	3	3.026	5.078	4	0	3	1.001	1
unassigned_transcript_579	SAUSA300_RS02900	25	13	14	21	16	11	14	13	8	7	18	13	26.004	19	30	21.067	24.873	27	25	23	22	20	16	21.001	22	24	20	33	17	21	21	27
unassigned_transcript_580	SAUSA300_RS02905	121.53	119	107.414	97.16	25	24.94	30	35	26	21	25.895	23	223.488	231.921	198.035	205.757	132.549	110.214	118.492	105.61	161.607	139.944	171.987	181.742	142.718	212.712	199.516	193.262	98.454	105.047	90.629	92.875
unassigned_transcript_581	SAUSA300_RS02910	112.47	102	105.586	113.84	12	12.06	9	9	9	8	12.105	6	148.375	140.224	166.784	152.224	101.565	104.786	93.433	97.231	74.393	75.053	87.304	88.29	82.292	105.163	105.507	108.203	44.604	27.953	40.372	31.125
unassigned_transcript_582	SAUSA300_RS02915	36	35	21	26	69	66	54	51	50	71	65	63	41	49	59	44	20	37	21.002	27	23	21	24	30	18	24	16	34	72	82.815	72	80
unassigned_transcript_583	SAUSA300_RS02920	133	134	111	143	286	319	288	284	280	318	292	287.938	89.901	68	75.848	69.025	112	117.275	117.799	114	36	36	35	50.003	32	40.098	39	41	78	109	80	88
unassigned_transcript_584	SAUSA300_RS02925	392	390	398	401	265	290	263.001	236	275	281	271	272.663	1162.59	1183.886	1249.414	1160.281	512.012	538.356	499.736	514.494	233.144	216.397	223.003	308	223.001	313.012	321.996	313.089	572.188	598.874	578.403	586.297
unassigned_transcript_585	SAUSA300_RS02930	115	121	144	137	17	20	20	20	15	23	14	19	147.453	159.015	142.199	176.056	138.001	162	162.757	171	99.544	87.016	85	118	98	103	142	107	118	124.149	120	138.026
unassigned_transcript_586	SAUSA300_RS02935	491.285	489	531.631	506	62	60	70	71	59	70	49	46	488.643	482.035	431.259	499.947	514.317	555.075	517.296	535.693	247.015	254.124	220.002	259.956	227.008	282.052	292.447	279.003	234	228.69	273.928	208.038
unassigned_transcript_587	SAUSA300_RS02940	4636.52	4563.613	4745.07	4568.859	817.81	863.882	804.887	826.063	763.029	883.829	811.336	859.987	2277.229	2143.123	2124.827	2115.171	2098.732	2157.889	2158.588	2125.898	1750.973	1712.243	1762.455	2095.933	1654.998	2163.321	2197.508	2099.643	1546.378	1642.162	1578.649	1553.733
unassigned_transcript_588	SAUSA300_RS02945	4367.45	4071.434	4509.992	4316.067	1830.006	1814.794	1749.596	1645.176	1678.441	1791.08	1734.243	1778.869	1954.376	1949.512	2028.761	1956.025	1829.747	1844.753	1747.743	1802.919	1927.9	1861.893	1892.538	2302.787	1782.615	2333.554	2248.807	2181.744	1344.534	1416.341	1347.858	1373.723
unassigned_transcript_589	SAUSA300_RS02950	2483.573	2377.358	2465.197	2547.169	690.015	743.028	728.517	685.815	672.485	721.168	690.417	709.967	1437.487	1506.245	1555.312	1427.251	1256.174	1306.731	1249.292	1207.883	1113.258	1165.202	1129.819	1444.192	1057.19	1402.426	1378.308	1360.634	1197.651	1315.92	1170.901	1264.069
unassigned_transcript_590	SAUSA300_RS02955	213.007	223	215.996	210.133	15	18	23.045	20.062	13	13	9	17	175.925	176.997	182.996	184.673	106.096	108.008	93.029	86.676	59	57.013	57	77.002	75.111	87	85.002	92.761	61.962	67.271	74.01	76.068
unassigned_transcript_591	SAUSA300_RS02960	3094.727	3026.014	3155.333	3072.163	913.062	799.65	852.572	896.126	876.299	906.701	845.629	891.6	3638.871	3645.923	3809.605	3688.266	1508.444	1516.906	1389.741	1392.894	757.017	728.71	724.85	923.505	721.478	924.835	950.174	888.403	1157.716	1214.888	1165.194	1136.149
unassigned_transcript_592	SAUSA300_RS02965	3314.244	3132.786	3222.862	3348.626	1888.197	1787.675	1797.696	1805.795	1775.698	1824.299	1793.371	1803.324	3790.242	4030.903	4024.559	3945.883	1696.002	1716.51	1696.668	1688.642	965.868	922.374	922.142	1157.736	897.262	1091.482	1121.958	1159.221	1782.52	1771.564	1802.64	1772.081
unassigned_transcript_593	SAUSA300_RS02970	50	57	63	55	24	41	45	29	43	31	38	24	78.933	55.105	77.34	69.445	29	33	22	32	15	22	25	21	20	29.01	17	15	37.123	29	38	33
unassigned_transcript_594	SAUSA300_RS02975	975.451	895.477	1021.883	946	301	269.865	278	266	261	250	270	255	543.315	519.223	508.926	534.56	1524.585	1547.787	1483.129	1550.588	986.569	913.991	1020.286	1189.205	973.668	1206.243	1251.187	1220.568	643.994	682.869	640.187	642.292
unassigned_transcript_595	SAUSA300_RS02985	26.769	34.098	24	17.115	2	5	4	1	1	4	3	7	29.837	36.001	28.114	31.251	32.002	36.995	29	33	27.608	14.506	20.103	22	9.044	30.627	26.78	28.933	7	15.001	13.611	14.086
unassigned_transcript_596	SAUSA300_RS02990	32.231	52.103	29.056	37.885	36	25	36.477	20	31.329	31	29	30	53.163	47.083	43.957	52	39.129	41.166	45	31.002	54.617	54.494	54.897	62.038	44.096	71.644	65.308	62.112	54	45.002	58.088	47.964
unassigned_transcript_597	SAUSA300_RS02995	8.933	4.798	12.947	15	0	0	2.523	0	3.671	5	2	2	12.217	18.974	15.927	14	9	13.994	11	7.998	20.944	10.8	18.118	11.741	11.886	18.381	14.432	11.955	3	7.998	13.65	9.972
unassigned_transcript_598	SAUSA300_RS03000	8.067	12	3.997	9	0	0	0	0	0	0	0	0	13.783	9.943	9.379	11	8	9	19	6	11.831	6.2	6.882	10.259	7.29	13.347	12.481	18	2	4	7.651	5.979
unassigned_transcript_599	SAUSA300_RS03005	264	261	263	266	292.799	279	285	294	292	290	286	293	25.461	21	37	23	330.956	317.867	303.253	321.479	60	71	42	78	62	71	55	77	13	16	20	16
unassigned_transcript_600	SAUSA300_RS03010	491	451	485	504	200	204	224	191	216.001	199	225	208	545.078	546.82	560.111	525.637	381.308	356.04	327.02	330.015	309.711	331	309.85	394.295	305	389.143	386.072	399	991.193	938.039	979.043	1009.581
unassigned_transcript_601	SAUSA300_RS03015	74.098	80.001	80.201	80.998	32	33.184	32.631	33.129	33.26	36.57	29.107	29.01	123.653	145.41	150.137	119.491	120.427	116.35	112.308	129.02	158.692	181.886	150.243	199.49	156.141	189.183	186.646	168.994	104.043	123.481	120.515	107.945
unassigned_transcript_602	SAUSA300_RS03020	63.902	53.999	67.799	52.002	30	21.816	22.369	38.871	38.74	25.43	21.893	25.99	137.736	118.874	141.959	119.334	94.573	114.495	86.692	120.814	171.619	150.934	155.651	189.419	142.941	182.742	191.567	152.991	97.942	123.519	123.595	119.89
unassigned_transcript_603	SAUSA300_RS03025	49	42	70	42	19	25	18	16	19	24	17	33	56.336	55.006	55.622	64.466	62.001	90.48	68	81.219	74.349	83	92.576	102.092	83.279	102.568	95	108.341	50.015	41	65.989	42.167
unassigned_transcript_604	SAUSA300_RS03030	4070.031	3954.901	4186.958	4070.524	648	654	616	622	642.998	639	637	672	6454.4	6483.558	6713.288	6625.952	1176.137	1113.461	1122.864	1102.744	1802.757	1734.582	1664.982	2144.603	1678.127	2182.022	2216.703	2092.772	3208.152	3343.532	3303.242	3114.237
unassigned_transcript_605	SAUSA300_RS03035	69.922	103.218	101.421	77.023	15.127	10.788	18.179	11	16	6.27	16.863	6.016	60.712	72.586	79.418	67.729	111.61	105.478	110.84	108.903	52	53.879	34	85.675	56.977	72.82	62.55	74.933	98.168	118.244	116.575	100.225
unassigned_transcript_606	SAUSA300_RS03040	213.078	244.782	216.585	255.986	58.873	53.212	59.821	48	44	50.73	57.137	61.984	135.311	121.414	130.222	100.548	189.477	184.612	206.176	197.097	84	65.121	82	85.328	64.023	94.18	75.45	92.068	116.865	146.757	164.425	163.259
unassigned_transcript_607	SAUSA300_RS03045	867	805.029	865	839.002	90	72	67	75	69	65	83	72	963.022	977.704	986.472	996.473	367.964	376	385.98	357	258	217.106	221.09	327.793	233.611	354	330.571	294.878	294.748	313.964	287.9	294
unassigned_transcript_608	SAUSA300_RS03050	1148.14	1126.653	1181.858	1135.081	387.854	424.681	433.945	355.986	434.25	408.958	395.818	410.254	1837.775	1796.894	1814.783	1767.209	1308.615	1341.518	1281.629	1267.802	1240.783	1251.091	1249.96	1559.074	1275.329	1582.257	1550.011	1476.729	2195.9	2212.619	2262.868	2171.745
unassigned_transcript_609	SAUSA300_RS03055	846.083	864.567	872.852	807.929	70.146	77.103	78.055	101.017	67.75	86.042	74.182	63	1393.881	1462.654	1446.645	1379.721	1129.994	1113.347	1097.583	1111.73	669.247	702.085	733.243	844.663	672.148	903.049	892.097	864.993	1027.075	1091.154	1106.414	1110.249
unassigned_transcript_610	SAUSA300_RS03060	277.07	299.694	294.959	306.559	162.911	113	134.006	131	134.61	123.324	116.003	136	194.092	212.746	215.998	205.898	178.731	194.38	207.023	172.229	301.982	306.204	314.279	362.704	303.686	340.249	367.138	339.411	224.338	230.407	225.523	244.534
