query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	direction
query_1	TRUE	0.0000426727145828665	880	324	59	0.182098765432099	0.0670454545454545	GO:0007155	GO:BP	cell adhesion	11131	2585	Up-regulated
query_1	TRUE	0.00104078901342723	5119	324	198	0.611111111111111	0.0386794295760891	GO:0050896	GO:BP	response to stimulus	11131	12476	Up-regulated
query_1	TRUE	0.00125822769715636	4057	324	166	0.512345679012346	0.0409169336948484	GO:0032501	GO:BP	multicellular organismal process	11131	7116	Up-regulated
query_1	TRUE	0.00454235902337624	3768	324	155	0.478395061728395	0.041135881104034	GO:0023052	GO:BP	signaling	11131	6205	Up-regulated
query_1	TRUE	0.00539845378545643	3777	324	155	0.478395061728395	0.0410378607360339	GO:0007154	GO:BP	cell communication	11131	2584	Up-regulated
query_1	TRUE	0.00610298651733444	1032	324	60	0.185185185185185	0.0581395348837209	GO:0003008	GO:BP	system process	11131	1410	Up-regulated
query_1	TRUE	0.00671391000128862	3885	324	158	0.487654320987654	0.0406692406692407	GO:0032502	GO:BP	developmental process	11131	7117	Up-regulated
query_1	TRUE	0.00976757856304315	3553	324	147	0.453703703703704	0.0413734871939206	GO:0048856	GO:BP	anatomical structure development	11131	12247	Up-regulated
query_1	TRUE	0.0155010312972385	1240	324	67	0.20679012345679	0.0540322580645161	GO:0009888	GO:BP	tissue development	11131	3587	Up-regulated
query_1	TRUE	0.0351310409495895	1730	324	84	0.259259259259259	0.0485549132947977	GO:0009653	GO:BP	anatomical structure morphogenesis	11131	3414	Up-regulated
query_1	TRUE	0.000283243321499771	155	324	17	0.0524691358024691	0.109677419354839	KEGG:04820	KEGG	Cytoskeleton in muscle cells	11131	380	Up-regulated
query_1	TRUE	0.00495059399967644	34	324	7	0.0216049382716049	0.205882352941176	KEGG:04978	KEGG	Mineral absorption	11131	423	Up-regulated
query_1	TRUE	0.0396251158333861	61	324	8	0.0246913580246914	0.131147540983607	KEGG:04512	KEGG	ECM-receptor interaction	11131	324	Up-regulated
query_1	TRUE	0.000367201630926195	4	324	4	0.0123456790123457	1	REAC:R-HSA-5661231	REAC	Metallothioneins bind metals	11131	1508	Up-regulated
query_1	TRUE	0.00525760493280485	6	324	4	0.0123456790123457	0.666666666666667	REAC:R-HSA-5660526	REAC	Response to metal ions	11131	2175	Up-regulated
query_1	TRUE	0.00000000000475250106225663	1796	282	102	0.361702127659574	0.0567928730512249	GO:0051239	GO:BP	regulation of multicellular organismal process	11131	12691	Down-regulated
query_1	TRUE	0.0000000000222059490376099	4057	282	169	0.599290780141844	0.0416563963519842	GO:0032501	GO:BP	multicellular organismal process	11131	7116	Down-regulated
query_1	TRUE	0.0000000000857017731997955	3777	282	160	0.567375886524823	0.0423616626952608	GO:0007154	GO:BP	cell communication	11131	2584	Down-regulated
query_1	TRUE	0.000000000459838991238218	3768	282	158	0.560283687943262	0.041932059447983	GO:0023052	GO:BP	signaling	11131	6205	Down-regulated
query_1	TRUE	0.000000000843988827116967	2525	282	121	0.429078014184397	0.0479207920792079	GO:0048731	GO:BP	system development	11131	12138	Down-regulated
query_1	TRUE	0.00000000567677225300906	1016	282	67	0.23758865248227	0.0659448818897638	GO:0051240	GO:BP	positive regulation of multicellular organismal process	11131	12692	Down-regulated
query_1	TRUE	0.0000000445758892705266	3553	282	147	0.521276595744681	0.0413734871939206	GO:0048856	GO:BP	anatomical structure development	11131	12247	Down-regulated
query_1	TRUE	0.0000000565012956759299	840	282	58	0.205673758865248	0.069047619047619	GO:0051094	GO:BP	positive regulation of developmental process	11131	12612	Down-regulated
query_1	TRUE	0.0000000975553710173566	2924	282	128	0.453900709219858	0.0437756497948016	GO:0007275	GO:BP	multicellular organism development	11131	2666	Down-regulated
query_1	TRUE	0.000000136892702444563	1730	282	90	0.319148936170213	0.0520231213872832	GO:0009653	GO:BP	anatomical structure morphogenesis	11131	3414	Down-regulated
query_1	TRUE	0.000000232175973008116	700	282	51	0.180851063829787	0.0728571428571429	GO:0007267	GO:BP	cell-cell signaling	11131	2659	Down-regulated
query_1	TRUE	0.000000250098697334862	2626	282	118	0.418439716312057	0.0449352627570449	GO:0030154	GO:BP	cell differentiation	11131	6252	Down-regulated
query_1	TRUE	0.000000256902755942771	2627	282	118	0.418439716312057	0.0449181575942139	GO:0048869	GO:BP	cellular developmental process	11131	12259	Down-regulated
query_1	TRUE	0.000000288220301006284	3885	282	154	0.546099290780142	0.0396396396396396	GO:0032502	GO:BP	developmental process	11131	7117	Down-regulated
query_1	TRUE	0.000000359600295887002	3497	282	143	0.50709219858156	0.0408921933085502	GO:0007165	GO:BP	signal transduction	11131	2595	Down-regulated
query_1	TRUE	0.000000408914612327557	881	282	58	0.205673758865248	0.0658342792281498	GO:2000026	GO:BP	regulation of multicellular organismal development	11131	23538	Down-regulated
query_1	TRUE	0.000000424298707282249	1559	282	83	0.294326241134752	0.0532392559332906	GO:0050793	GO:BP	regulation of developmental process	11131	12400	Down-regulated
query_1	TRUE	0.00000169355844911837	5119	282	184	0.652482269503546	0.0359445204141434	GO:0050896	GO:BP	response to stimulus	11131	12476	Down-regulated
query_1	TRUE	0.000122431445658214	1773	282	84	0.297872340425532	0.0473773265651438	GO:0007166	GO:BP	cell surface receptor signaling pathway	11131	2596	Down-regulated
query_1	TRUE	0.000169882280176283	664	282	44	0.156028368794326	0.0662650602409639	GO:0000902	GO:BP	cell morphogenesis	11131	230	Down-regulated
query_1	TRUE	0.000196354283773986	4385	282	159	0.563829787234043	0.0362599771949829	GO:0051716	GO:BP	cellular response to stimulus	11131	12983	Down-regulated
query_1	TRUE	0.00020525917814258	1639	282	79	0.280141843971631	0.0482001220256254	GO:0007399	GO:BP	nervous system development	11131	2762	Down-regulated
query_1	TRUE	0.00020550104407195	794	282	49	0.173758865248227	0.061712846347607	GO:0040011	GO:BP	locomotion	11131	9265	Down-regulated
query_1	TRUE	0.000287478841591346	1712	282	81	0.287234042553192	0.0473130841121495	GO:0048468	GO:BP	cell development	11131	11920	Down-regulated
query_1	TRUE	0.000458284042656258	448	282	34	0.120567375886525	0.0758928571428571	GO:0120039	GO:BP	plasma membrane bounded cell projection morphogenesis	11131	18206	Down-regulated
