ontology_id	ontology_name	nr_common_with_tested_elements	nr_common_with_background_elements	p_value	eFDR	source	direction
GO:0030976	thiamine pyrophosphate binding	1	7	0.392213325371258	1	GO:MF	Up-biofilm
GO:0042578	phosphoric ester hydrolase activity	0	5	1	1	GO:MF	Up-biofilm
GO:0042626	ATPase-coupled transmembrane transporter activity	1	51	0.97438886272899	1	GO:MF	Up-biofilm
GO:0042834	peptidoglycan binding	1	6	0.347341237703447	1	GO:MF	Up-biofilm
GO:0043022	ribosome binding	0	5	1	1	GO:MF	Up-biofilm
GO:0046872	metal ion binding	7	56	0.0847017822021421	1	GO:MF	Up-biofilm
GO:0050660	flavin adenine dinucleotide binding	0	14	1	1	GO:MF	Up-biofilm
GO:0050661	NADP binding	0	11	1	1	GO:MF	Up-biofilm
GO:0051287	NAD binding	0	11	1	1	GO:MF	Up-biofilm
GO:0051536	iron-sulfur cluster binding	1	5	0.29917909630408	1	GO:MF	Up-biofilm
GO:0051539	4 iron, 4 sulfur cluster binding	1	10	0.50924887846498	1	GO:MF	Up-biofilm
GO:0070403	NAD+ binding	0	5	1	1	GO:MF	Up-biofilm
GO:0071949	FAD binding	0	5	1	1	GO:MF	Up-biofilm
GO:0140359	ABC-type transporter activity	1	55	0.980857291355593	1	GO:MF	Up-biofilm
GO:1904047	S-adenosyl-L-methionine binding	0	15	1	1	GO:MF	Up-biofilm
saa00010	Glycolysis / Gluconeogenesis	0	38	1	1	KEGG	Down-planktonic
saa00020	Citrate cycle (TCA cycle)	0	22	1	1	KEGG	Down-planktonic
saa00030	Pentose phosphate pathway	0	21	1	1	KEGG	Down-planktonic
saa00040	Pentose and glucuronate interconversions	0	9	1	1	KEGG	Down-planktonic
saa00051	Fructose and mannose metabolism	1	16	0.398907033026054	1	KEGG	Down-planktonic
saa00052	Galactose metabolism	1	14	0.35929107800908	1	KEGG	Down-planktonic
saa00053	Ascorbate and aldarate metabolism	2	5	0.00903665474769944	0.0732	KEGG	Down-planktonic
saa00061	Fatty acid biosynthesis	0	14	1	1	KEGG	Down-planktonic
saa00071	Fatty acid degradation	0	10	1	1	KEGG	Down-planktonic
saa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	9	1	1	KEGG	Down-planktonic
saa00190	Oxidative phosphorylation	4	21	0.00348837274293934	0.03525	KEGG	Down-planktonic
saa00220	Arginine biosynthesis	4	19	0.002368444408545	0.0303333333333333	KEGG	Down-planktonic
saa00230	Purine metabolism	7	43	0.000281159654214047	0.006	KEGG	Down-planktonic
saa00240	Pyrimidine metabolism	2	27	0.205241044285856	0.678933333333333	KEGG	Down-planktonic
