gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS14560	452.79942805277125	-0.5316933710981502	0.0452269771247447	5.384221604268496e-32	1.64417505365246e-31	Not significant
SAUSA300_RS06010	335.40422812217173	0.6740918536700191	0.05746124287233863	6.621333715195817e-32	2.019240509660923e-31	Not significant
SAUSA300_RS00015	689.7384642888859	0.4630121148008554	0.039445044446617596	7.14069039420187e-32	2.174708252584907e-31	Not significant
SAUSA300_RS06385	157.99573670056068	1.0410345388638746	0.08932723702415488	1.153605954239769e-31	3.5086277351543776e-31	Not significant
SAUSA300_RS12835	136.60840676259087	1.1286767561709916	0.09704657134963277	1.4245621934077574e-31	4.326941241659076e-31	Not significant
SAUSA300_RS07185	555.1420727514179	-0.4996371232980772	0.042833154203324876	1.6305935881899173e-31	4.946133884176083e-31	Not significant
SAUSA300_RS06050	248.107889822561	0.8142865139892272	0.07008313038837512	2.0665977361940288e-31	6.260332689535839e-31	Not significant
SAUSA300_RS02255	152.9735916643955	1.0500590712016895	0.09061934205208379	2.501981239153161e-31	7.569158668980641e-31	Not significant
SAUSA300_RS15370	1716.2856294281585	0.30517052092281904	0.02623231757654911	2.611391534693081e-31	7.889662339212164e-31	Not significant
SAUSA300_RS07265	623.7717529189431	0.4884133154481435	0.04203584675032493	2.842768598300704e-31	8.577319046596951e-31	Not significant
SAUSA300_RS01085	85.95243244022659	-1.1986835991802343	0.10400759218537839	3.9020216276474713e-31	1.1757747288606619e-30	Not significant
SAUSA300_RS01215	66.87869675034013	1.8172250910439733	0.15840043159837	5.441722360177577e-31	1.6375553398682523e-30	Up
SAUSA300_RS03975	221.07632486538066	-0.7545418899169949	0.0654399148088328	6.231059848846322e-31	1.872610456555533e-30	Not significant
SAUSA300_RS09935	69.02768355349761	1.8135855577316806	0.158274849618864	6.251076418263263e-31	1.8761476057452406e-30	Up
SAUSA300_RS04300	350.24123700769707	-0.616054738201814	0.05337666760168256	6.358566898667813e-31	1.9058945579010902e-30	Not significant
SAUSA300_RS07005	134.29298376346375	-0.949545920707538	0.08315510716303724	1.7789504632896736e-30	5.32514776840001e-30	Not significant
SAUSA300_RS09755	270.41434559065397	0.7611534123137896	0.06669488567096585	2.4405929896767623e-30	7.296122275314894e-30	Not significant
SAUSA300_RS08675	262.04763587612985	0.7730418851396222	0.0677703784317708	2.6830053624895673e-30	8.010285038928827e-30	Not significant
SAUSA300_RS01985	26.40207346317219	-2.218347666847306	0.19638745156329046	2.7416394787076608e-30	8.174613124587062e-30	Down
SAUSA300_RS06245	123.12632870720485	1.171941404665458	0.10319157059047504	3.284819542774486e-30	9.781367093994706e-30	Not significant
SAUSA300_RS05910	297.74852354103746	0.7227550005531076	0.0635220007096758	3.735818366026643e-30	1.110978664406616e-29	Not significant
SAUSA300_RS10175	261.3381154928445	-0.6871128235815521	0.060406004889899965	4.156391184990898e-30	1.2344373297459914e-29	Not significant
SAUSA300_RS14245	78.17266943732349	1.632434037849183	0.14447714875820625	4.235632123934228e-30	1.2563315621838812e-29	Up
SAUSA300_RS08940	215.3038443140533	-0.7363136334141053	0.06494233498059739	5.8655979994204245e-30	1.7375306573803992e-29	Not significant
SAUSA300_RS05155	52.451219835743196	2.198774649937318	0.19544417568657105	6.393723563500833e-30	1.8915111972645506e-29	Up
SAUSA300_RS02675	27.554113702224367	-2.25469395956581	0.20201100663433622	9.815891107432163e-30	2.9001496453776845e-29	Down
SAUSA300_RS06015	510.70190422753063	0.531132347051267	0.04704649556144961	1.1424508282532262e-29	3.3710449212400646e-29	Not significant
SAUSA300_RS06025	716.9412746359345	0.44313333372003816	0.03933572549410549	1.5904588285687625e-29	4.6869091126864434e-29	Not significant
SAUSA300_RS03670	55.24501615890313	2.0382795612879083	0.18255157214396936	1.6956290672099962e-29	4.9903701525261854e-29	Up
SAUSA300_RS06305	366.31835800882914	-0.5937842658841049	0.05280289628894181	1.8788275733864383e-29	5.5223937073051e-29	Not significant
