gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAUSA300_RS10375	220.2255644514322	-0.06508865793776847	0.11519632228371866	95.73620768358708	1.6260977254647483e-21	2.8089387436843605e-21
SAUSA300_RS02890	37.75282944184068	-2.5351943004882393	0.2950930213092846	95.4847515947854	1.8439521125832673e-21	3.182846021340617e-21
SAUSA300_RS08445	30.100209265729784	-2.5801300023729006	0.30688413936991177	95.19521044589368	2.1311926016888368e-21	3.6758629028370764e-21
SAUSA300_RS06420	264.4423545413617	-0.6098469523657429	0.08821602563005561	94.5036969744258	3.0115005184611617e-21	5.1902755147720774e-21
SAUSA300_RS08890	56.17810343542916	-1.0905134192085786	0.21996567898808772	94.36490108598633	3.2279149739021862e-21	5.5590511473334396e-21
SAUSA300_RS07880	215.55237442931212	-0.7565943055593863	0.09965181826193056	94.18733655247803	3.5276032581071716e-21	6.0705729290422204e-21
SAUSA300_RS15810	33.13963070914961	2.4273764192611993	0.4385900776182508	94.14733914689054	3.598860902535776e-21	6.188517424995382e-21
SAUSA300_RS05090	150.77645505051535	-1.10199677834553	0.1326148550434322	93.99431160606093	3.885031725136201e-21	6.675564331332974e-21
SAUSA300_RS12615	88.11574318331006	1.3883775907024765	0.1459832573043309	93.74786023895996	4.394513510350355e-21	7.545296781922309e-21
SAUSA300_RS04460	192.99380542620028	-0.938704614004655	0.10495050896745971	93.61165278778822	4.704222732073768e-21	8.070970373655974e-21
SAUSA300_RS12205	72.00077153015542	-1.6862523265606928	0.19126684038374414	93.1156631989561	6.0282415626696724e-21	1.0334777358759235e-20
SAUSA300_RS10475	66.91244611649454	1.2378708763221966	0.1719130394558914	92.93654724801476	6.593031967796692e-21	1.1294538950856533e-20
SAUSA300_RS05390	18.194003973254773	-2.782139518722754	0.37153495869508246	92.83309054719271	6.943053610633325e-21	1.1885212162671794e-20
SAUSA300_RS10325	79.90111291232174	-1.083846437714098	0.16430502615383397	92.71194232791214	7.376621842665192e-21	1.2617905783506249e-20
SAUSA300_RS01890	84.30053255074834	0.3850665226365486	0.14152680113788382	92.46790548079974	8.333922323105196e-21	1.4244683159327063e-20
SAUSA300_RS11920	57.15537259219105	-1.111967719252918	0.21692426557322123	92.40797886144301	8.58741296273639e-21	1.4666940307976942e-20
SAUSA300_RS10080	123.40612943723022	-1.2925181834273416	0.13973770189621396	92.056993904808	1.0234762359954997e-20	1.7467430134206766e-20
SAUSA300_RS09305	454.4223493231022	0.6835080454475678	0.07114912036532843	91.9077581514901	1.1027673399239397e-20	1.8806564455224608e-20
SAUSA300_RS07435	585.485620128153	-0.4600382051539718	0.05631168335705622	91.90565385925987	1.103928222898679e-20	1.8812259978235916e-20
SAUSA300_RS01465	26.36165231309599	-2.536461773251102	0.3404620195611201	91.89515600921112	1.1097378932965168e-20	1.8897108587197422e-20
SAUSA300_RS08245	72.83643226221905	1.284289181912259	0.1627370442481329	91.8783846560157	1.1190829238183217e-20	1.9039035893383313e-20
SAUSA300_RS13520	152.160972900062	0.9246341429706818	0.11216139215754421	91.87719930268474	1.1197463747405218e-20	1.9039035893383313e-20
SAUSA300_RS00860	85.42368497953734	1.5994464387001277	0.16071999108625556	91.19660892177652	1.573649428968451e-20	2.6736762142667857e-20
SAUSA300_RS01015	717.9919792135868	0.03362881390405099	0.053486825632187505	91.00582583348535	1.7311552204393227e-20	2.939088154104074e-20
SAUSA300_RS04690	380.6338883326102	0.005415837256112255	0.07329421666746375	90.9026921503301	1.822767197748274e-20	3.092315715792187e-20
SAUSA300_RS04265	106.40948150724417	-1.3503200087927894	0.14787245687772105	90.11313448469124	2.7050884691123644e-20	4.585749826550394e-20
SAUSA300_RS07335	600.8885750951862	-0.5264580074666302	0.05622732506585495	90.11090832144771	2.708101129730126e-20	4.587438622588263e-20
SAUSA300_RS08635	107.24463457226305	-0.8495033931216128	0.1469180766436937	89.93805864464736	2.952559843257807e-20	4.99782265134785e-20
SAUSA300_RS01315	221.0962155472343	-0.5312441878195687	0.09483036832497183	89.80254883972697	3.1595431362720124e-20	5.34420865057162e-20
SAUSA300_RS12810	61.90017765697746	1.2965725556069332	0.1784067971323587	89.74277800601217	3.255392515517052e-20	5.502242178901406e-20
SAUSA300_RS04790	62.25459029930023	-1.4580926461893016	0.1868939949679241	89.64699202955057	3.415096823735582e-20	5.767888102448737e-20
SAUSA300_RS08465	211.74455131282247	-0.8759001698713057	0.10077629753073067	89.64374470461277	3.4206462922886896e-20	5.772975011095526e-20
SAUSA300_RS11285	27.880055352170082	-2.390897016374481	0.5030749105411576	89.63104877036889	3.4424295089101466e-20	5.805431529110885e-20
SAUSA300_RS12260	243.75670349390597	-0.1535701445804058	0.08874913967558863	89.48879752626044	3.696191986207883e-20	6.228767976757728e-20
SAUSA300_RS08340	54.34690259344033	-1.2588206964381388	0.24171217270413398	89.25422538549955	4.156150008931302e-20	6.998698201568254e-20
SAUSA300_RS06615	35.150543390125634	-2.468251790557073	0.28452713393892143	88.9119886255634	4.931817330966273e-20	8.298731085760555e-20
SAUSA300_RS11875	84.43654145304772	0.025972177871202488	0.14886467681572915	88.82499296513808	5.1510747247001247e-20	8.661267552618466e-20
SAUSA300_RS12685	159.13068739038724	0.99523642309465	0.1074392707267498	88.62360690091162	5.69676465567742e-20	9.571742682175871e-20
SAUSA300_RS12355	59.1874452039791	2.432003953332644	0.33066875411262664	88.42941221422635	6.277650289657123e-20	1.0539966353483361e-19
SAUSA300_RS08725	454.29856416246605	0.09347830868650923	0.07063838025996029	88.40746707822399	6.346911526258435e-20	1.064839507539671e-19
SAUSA300_RS12635	32.57202511981613	2.259641668352093	0.25454069762249004	87.98956207477045	7.821847833562156e-20	1.3113267370194478e-19
SAUSA300_RS03540	113.91229274411198	-1.3200875434105326	0.1582419563773055	87.67606787461875	9.149213529851265e-20	1.5327290707225058e-19
SAUSA300_RS11520	266.61076542783485	-0.9154802041245405	0.10293835101105454	87.5183364985815	9.899988649157716e-20	1.6572828680525243e-19
SAUSA300_RS12555	15.504382221303484	-3.4395788247738737	0.4565230855804702	87.23279759545315	1.1419278940285184e-19	1.9102102639079995e-19
SAUSA300_RS03905	178.04441751270713	0.7719390702599579	0.11191550374859964	87.22689924503018	1.1453006103880762e-19	1.914444444256336e-19
SAUSA300_RS03800	695.3097398057282	-0.41929842271804935	0.05685245832548117	87.12456572794389	1.2054270505018372e-19	2.013470293606226e-19
SAUSA300_RS04950	367.5907984411501	-0.693290973763054	0.0773329862094442	86.66265700642646	1.5185990977645384e-19	2.5328540670193e-19
SAUSA300_RS09110	115.45741200263733	1.1739712040651396	0.12611532888259566	86.66354234128121	1.5179270121748855e-19	2.5328540670193e-19
SAUSA300_RS13050	37.069073581615086	-2.4533912029868135	0.3095805594381383	86.6218639792969	1.5498912655903587e-19	2.583152109317265e-19
SAUSA300_RS06595	331.4593256096235	0.6293814411311351	0.07610728937434022	86.32303485516229	1.7996628455063055e-19	2.9972422939435172e-19
SAUSA300_RS12585	726.8749506395645	0.4085634111812027	0.049916631044653645	86.26473806454317	1.852892135028836e-19	3.08363541125867e-19
SAUSA300_RS05815	850.6497753061709	-0.010769447606407596	0.053685774656382974	86.2589570693658	1.8582556631754636e-19	3.0903009018451607e-19
SAUSA300_RS04320	24.287737917330116	-2.459056911135586	0.3529322258727045	86.00104948219806	2.11402143255897e-19	3.5130743309508086e-19
SAUSA300_RS00595	216.79640669212284	-0.25830259681250684	0.09282019414249718	85.638873165056	2.533698731543836e-19	4.207419426468779e-19
SAUSA300_RS03285	29.707010622959608	-3.076532550202965	0.3575871658817932	85.56909671407038	2.6236550684051064e-19	4.353621648885206e-19
SAUSA300_RS03185	114.94047441637737	0.5573408125869298	0.1364809814032962	85.54729524073048	2.6524112886624364e-19	4.398130963343326e-19
SAUSA300_RS11065	60.259336635784976	-0.5493704013135506	0.16601864995505175	85.5418410244047	2.6596545732602604e-19	4.406929464069259e-19
SAUSA300_RS05515	36.47772166284213	-2.0946026657791	0.26644420020899007	85.51264304612283	2.6987676525236526e-19	4.46848355858174e-19
SAUSA300_RS06785	458.80073714909	-0.12896112748141958	0.06857584954469656	85.43743156523226	2.8021892432596247e-19	4.636349475211379e-19
SAUSA300_RS06185	784.7759010786413	0.050499555089166585	0.049199522671987045	85.22479085782112	3.1165335359317165e-19	5.152698978375476e-19
SAUSA300_RS08180	50.866476449511374	-1.717069783062493	0.22415551539079726	84.92418017503027	3.6220011587160525e-19	5.984061464109673e-19
SAUSA300_RS05455	1324.4128004126128	0.13593880200895367	0.0364157668698018	84.88623255459447	3.6913804345191843e-19	6.094260151328842e-19
SAUSA300_RS08985	259.3336415379163	-0.8585193212592777	0.09540529279969616	84.69833057842283	4.055003203889524e-19	6.689726097787286e-19
SAUSA300_RS14055	128.9682489141185	0.26330596437612336	0.11675465097482947	84.66840420722923	4.1161351934768744e-19	6.785657655912963e-19
SAUSA300_RS03595	330.27249242660264	0.7172456078784905	0.07754873269100153	84.36183872897158	4.797991545852649e-19	7.904004899938288e-19
SAUSA300_RS11320	95.87955358436527	-1.647994922038616	0.2675067693644545	84.21498217731605	5.163556974887223e-19	8.500066655476435e-19
