gene_id	gene_name	USA100_N315_Biofilm_10h_1	USA100_N315_Biofilm_10h_2	USA100_N315_Biofilm_10h_3	USA100_N315_Biofilm_10h_4	USA100_N315_Biofilm_24h_1	USA100_N315_Biofilm_24h_2	USA100_N315_Biofilm_24h_3	USA100_N315_Biofilm_24h_4	USA100_N315_Biofilm_24h_5	USA100_N315_Biofilm_24h_6	USA100_N315_Biofilm_24h_7	USA100_N315_Biofilm_24h_8	USA100_N315_Biofilm_5h_1	USA100_N315_Biofilm_5h_2	USA100_N315_Biofilm_5h_3	USA100_N315_Biofilm_5h_4	USA100_N315_Planktonic_10h_1	USA100_N315_Planktonic_10h_2	USA100_N315_Planktonic_10h_3	USA100_N315_Planktonic_10h_4	USA100_N315_Planktonic_24h_1	USA100_N315_Planktonic_24h_2	USA100_N315_Planktonic_24h_3	USA100_N315_Planktonic_24h_4	USA100_N315_Planktonic_24h_5	USA100_N315_Planktonic_24h_6	USA100_N315_Planktonic_24h_7	USA100_N315_Planktonic_24h_8	USA100_N315_Planktonic_5h_1	USA100_N315_Planktonic_5h_2	USA100_N315_Planktonic_5h_3	USA100_N315_Planktonic_5h_4
SA_RS08650	SA_RS08650	38.999	46	51.985	46	29	23	29	32	22	27	19	24	120.202	103.298	118.33	110.463	75.362	68.875	60.7	80.033	220.989	191.995	198	203.622	220	227.994	219.911	236	91.007	74.52	70.977	90.672
SA_RS08655	SA_RS08655	39	42	44.015	52.061	30.048	30	29	30	28	36	29	35	131.798	109.06	130.679	120.925	77.638	109.125	93.266	92	58	56	55	61.382	58	75.003	65.089	75	36.179	45	51.783	68.298
SA_RS08660	SA_RS08660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SA_RS08665	SA_RS08665	2832.95	2923.019	2819.984	2854.085	1483.738	1465.678	1454.825	1596.495	1466.891	1676.717	1621.998	1575.033	2712.345	2670.188	2750.111	2709.177	1720.655	1686.971	1662.979	1664.387	599.105	603	596	570	646.181	697.695	685	650.947	942.581	957.813	978.706	1054.474
SA_RS08670	SA_RS08670	35	34	52	40	33	25	28	23	25	28	25	24	96.81	98.403	101.136	83.276	34.99	46	38	39	61	68	62	51	59	82	77	63	47.197	47.316	47.037	58
SA_RS08675	SA_RS08675	709.008	691.026	689.221	673.016	992.967	954.369	1004.707	1032.673	925.856	1055.508	1092.007	985.781	1592.749	1611.694	1593.828	1484.909	1127.892	1123	1039.376	1109.71	1725.523	1837.801	1796	1849	1945.964	1898.981	1912.037	1931	1458.14	1531.358	1474.491	1447.052
SA_RS08680	SA_RS08680	47	35	47	38.068	6	21.003	12	11.933	24	14	13	20	36.151	34.243	34	35	30	35	23	28	8	15	9	6	12	9	13	6	13.999	11	9	10
SA_RS08690	SA_RS08690	45	39	48	40	23	23	19	15	20	28	26	22	42.843	41.972	44	44.054	18	24	22	22	12	12	14	13	14	14	18	17	9.152	12	14.833	15
SA_RS08695	SA_RS08695	236.002	232	252.397	203	199	228	225.022	216	228.909	260	241.939	244.036	302.229	273.877	278.17	286.484	104	140	107	118.999	54	68	47	58	53.947	49	51	64.998	80.089	71	80.009	76.354
SA_RS08700	SA_RS08700	99	95.815	100.992	88.297	112	90.493	77.573	94	88.999	107.408	109.006	94.143	151.801	143.494	152.536	157.663	81.854	72.72	59.081	69.221	51	53.672	46	62.255	55.373	58	56.189	66.002	68.023	62.836	65.804	71.603
SA_RS08705	SA_RS08705	68	72.185	49.008	57.703	54	43.507	59.427	57	49.001	54.592	63	60.858	109.776	128.598	140.168	129.044	69.146	72.28	70.919	63.78	57	55.328	61	43	64.68	53	46.811	55	78.486	77.305	73.46	82.982
SA_RS08710	SA_RS08710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
